x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0033630704440464564,5.080574880764535e-16,-1.4690545965845082e-16,-9.922334974438321e-23,4.800121129184103e-22,6.5628768714695284e-9,-0.02591139364032111,2.1402048302027604e-8,-1.196011735365657e-6,-0.9996585864360759
-7.363572075702431e-9,-1.325406418321747e-20,-1.8657166969313755e-20,-1.0145317080585535e-16,2.4187374795933106e-16,0.004015704622966154,2.2459001367812076e-8,0.024760728334294237,-0.9996853407184212,1.1959933041506219e-6
2.1345241992851525e-9,-8.006703924735538e-19,2.1522103373595788e-19,-1.0745038063427153e-15,-1.7465331391374883e-15,-0.011509477754175358,9.450651653443534e-10,-0.9996260398025388,-0.0248054927489801,8.183564935936227e-9
-0.005620099188251599,-1.23180512096292e-15,-1.9040900046304153e-15,-3.682687340404821e-22,-7.10853090845035e-22,2.5968990955707015e-9,-0.99964894166866,-9.870818017106044e-10,8.545884979572162e-9,0.025892236400931794
8.21754263482842e-10,3.525971417194202e-18,3.501236342953989e-18,9.995418822525125e-14,2.6731001027014418e-14,-0.9999257002588778,-2.6917322617991806e-9,0.01160546772208947,-0.0037292198573365574,-1.7819159761264423e-9
3.8084606348393054e-24,1.9033864729458172e-10,9.38998475918004e-10,0.5384258986465501,-0.8426728615937831,3.138041962469637e-14,3.3607464743489067e-22,4.584487322358135e-16,-9.25061439997077e-18,-1.579780049373912e-23
-5.0493059916070934e-23,9.287088302030364e-10,-1.8959840222154734e-10,0.8426728615937827,0.5384258986465501,9.880984919163894e-14,-1.2555362080543088e-21,-3.3306690738754045e-15,5.551115123125876e-16,5.189626980422335e-22
-6.678685382510707e-17,-0.15359477205196206,-0.9881339210847415,4.776518404958983e-10,-8.305840841681247e-10,-6.776283430369104e-18,2.220446049250313e-15,-5.135137242729196e-20,1.5352472168984194e-21,1.3877787807814457e-17
2.0937331729475872e-13,-0.9881339210847413,0.15359477205196198,8.214636895751363e-10,4.728317480963484e-10,-2.9878011879599126e-18,-2.3592239273284576e-16,8.868302608854516e-19,8.470329472543003e-22,2.220446049250313e-16
0.9999785518911406,2.068737853083489e-13,-3.223655100335022e-14,-2.1402983127136917e-22,-9.08166590806432e-23,8.683724347783079e-10,-0.005531102995191779,2.229040252329075e-9,-3.2350115782410682e-9,0.003507514412519058
